Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Baby/Toddler Storytime,05/22/2017,May,FY 17,Olney,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,Yes,39
LEGO Crew,05/12/2017,May,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,24
Family Storytime,05/13/2017,May,FY 17,Germantown,ACE - All Children Excel,Storytime,,All Ages,,,"A storytime for all ages that includes stories, fingerplays, songs and other early literacy activities.",,Yes,100
Lego Weekend Play,05/13/2017,May,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,"Children are invited to drop in for to build, create, and play with our DUPLOS (little ones) and LEGOS. We supply the blocks, so please leave yours at home. Your creations must be left at the library but, may be photographed before deconstruction. All children must be accompanied by an adult at all times. This STEM program is made possible through the generous support of the Silver Spring Friends of the Library. 5th Floor Program Room, Saturday 12:30-5:30 pm and Sunday 1-4:30 pm Look for extended play time during our Summer hours!",,Yes,118
4H Reading Buddies for Aspen Hill,05/13/2017,May,FY 17,Twinbrook,Special Event,ACE - All Children Excel,,Preschool and Kindergarten,,,Join 4H members for reading and crafts!,,Yes,19
Baby/Toddler Storytime,05/15/2017,May,FY 17,Olney,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,Yes,54
Homework Help,05/15/2017,May,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,3
Tutoring and Homework Help,05/15/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,17
Baby Storytime,05/16/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,38
Baby Storytime,05/16/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,36
Toddler Storytime (18-36 months),05/16/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,76
Stepping Stones Story Time,05/16/2017,May,FY 17,Damascus,Storytime,ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,50
Baby Storytime (0-18 months),05/16/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,52
Homework Help,05/22/2017,May,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,Sarah didn't show up.,Yes,0
Tutoring and Homework Help,05/16/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,12
Toddler Storytime (18-36 months),05/17/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,91
Preschool Storytime,05/17/2017,May,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,50
Pre-School Storytime,05/17/2017,May,FY 17,Twinbrook,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Pictures Books, Fingerplays, Action Rhymes, Movement with Music, and Flannel Board Stories. Free. No registration required. Designed for children ages 2 1/2 to 5. For more information call 240-77-0240",,Yes,33
Family Storytime,05/17/2017,May,FY 17,Kensington Park,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"These 25-30 minute programs are designed to delight children of all ages. Filled with diverse stories and activities that promotes and develops language skills and imagination. These programs encourage children to develop a lifelong love of reading and learning, and introduce them to the culture of reading.",,Yes,83
PRESCHOOL STORYTIME,05/17/2017,May,FY 17,Long Branch,Storytime,ACE - All Children Excel,Science & Math (STEM),Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at storytime! These programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child's language skills. Children are encouraged to engage with the stories and activities and their grownups to participate in the program along with the children. 0-5 years are welcome.",,Yes,24
Family Storytime,05/17/2017,May,FY 17,Kensington Park,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"These 25-30 minute programs are designed to delight children of all ages. Filled with diverse stories and activities that promotes and develops language skills and imagination. These programs encourage children to develop a lifelong love of reading and learning, and introduce them to the culture of reading.",,Yes,49
Baby Storytime (0-18 months),05/17/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,44
Stepping Stones Story Time,05/17/2017,May,FY 17,Damascus,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,33
Homework Help,05/17/2017,May,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,3
Tutoring and Homework Help,05/17/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,15
Pajama Storytime,05/17/2017,May,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Get ready for bed with a special storytime at the library! Join us for stories, songs, rhymes and a craft. Ages 3 and up, with adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited. Please note new start time. ",,Yes,8
Toddler & Preschool Storytime,05/18/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,42
Construction Crew: DUPLO,05/18/2017,May,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,8
Preschool Storytime,05/18/2017,May,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, songs, rhymes, and other early literacy activities for preschoolers ages 3 and up. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,45
Me and You-kulele Singalong,05/18/2017,May,FY 17,Wheaton,Special Event,Storytime,ACE - All Children Excel,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. Got a Uke? Bring it! We will play and sing some 2 and 3-chord songs!",,Yes,28
Tutoring and Homework Help,05/18/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,16
Homework Help,05/18/2017,May,FY 17,Silver Spring,Homework,ACE - All Children Excel,,Elementary School Age,,,Grades K-8. Drop in Thursday afternoons to receive one on one assistance from local high school students. No advance registration necessary- sign in on arrival at study tables on the fifth floor.,,Yes,2
Toddler & Preschool Storytime,06/08/2017,Jun,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,69
Family Storytime,05/19/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come Sing, Read, and Rhyme With Us! This is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please be on time -- Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,Yes,44
MC Infants & Toddlers Bilingual Storytime,05/19/2017,May,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,20
LEGO and DUPLO Playtime,05/19/2017,May,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home -- just bring your imagination and start building! Your creations must be left at the library but may be photographed before you leave. For children ages 3 to 12. Free. No registration. All children must be accompanied by an adult at all times. For more information call 240-777-0240.,,Yes,3
LEGO Crew,05/19/2017,May,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,36
Family Storytime,05/20/2017,May,FY 17,Germantown,ACE - All Children Excel,Storytime,,All Ages,,,"A storytime for all ages that includes stories, fingerplays, songs and other early literacy activities.",,Yes,88
READ TO A DOG! -- PETS ON WHEELS FOR KENSINGTON PARK LIBRARY,05/20/2017,May,FY 17,Kensington Park,Special Event,Storytime,,Elementary School Age,,,"Come on in and read to a dog! Bring your own book to read, or pick one from our wonderful children's collection!",,Yes,20
Tutoring and Homework Help,05/20/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,14
Baby and Me Meetup,05/20/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Enjoy a story, a song, and connect with other families of babies! Very brief storytime followed by time to socialize. For children 0-3 and their families. No registration required at this time. Located in the reading nook on the 5th floor.",,Yes,59
Lego Weekend Play,05/20/2017,May,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,"Children are invited to drop in for to build, create, and play with our DUPLOS (little ones) and LEGOS. We supply the blocks, so please leave yours at home. Your creations must be left at the library but, may be photographed before deconstruction. All children must be accompanied by an adult at all times. This STEM program is made possible through the generous support of the Silver Spring Friends of the Library. 5th Floor Program Room, Saturday 12:30-5:30 pm and Sunday 1-4:30 pm Look for extended play time during our Summer hours!",,Yes,72
Tutoring and Homework Help,05/22/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,Z_For VS use only,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,20
Baby Storytime,05/23/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,38
Baby Storytime,05/23/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,56
Bilingual Storytime with Lupe Marks (Spanish/English),05/23/2017,May,FY 17,Chevy Chase,Bilingual,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Please join us for a bilingual (Spanish/English) storytime just right for toddlers and preschoolers. No registration needed. This program is made possible through the generous support of the Friends of the Library, Chevy Chase Chapter.",,Yes,53
Toddler Storytime (18-36 months),05/23/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,82
Me and You-kulele Singalong,06/08/2017,Jun,FY 17,Wheaton,Special Event,Storytime,ACE - All Children Excel,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. Got a Uke? Bring it! We will play and sing some 2 and 3-chord songs!",,Yes,20
POP-UP PLAYDATE,05/23/2017,May,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Playtime for young children and a parent or caregiver. Play with educational toys. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. This is a summertime program for children of all ages and their families. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,
Baby Storytime (0-18 months),05/23/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,43
Tutoring and Homework Help,05/23/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,22
Bedtime Stories with Your Teddy Bear,05/23/2017,May,FY 17,Twinbrook,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Bring your favorite stuffed animal for bedtime stories, songs, and rhymes. Children must be accompanied by an adult. Recommended for ages 3 and up. Call 240-777-0240 for more information.",,Yes,15
Toddler Storytime (18-36 months),05/24/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,94
Preschool Storytime,05/24/2017,May,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,60
Family Storytime,05/24/2017,May,FY 17,Kensington Park,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"These 25-30 minute programs are designed to delight children of all ages. Filled with diverse stories and activities that promotes and develops language skills and imagination. These programs encourage children to develop a lifelong love of reading and learning, and introduce them to the culture of reading.",,Yes,87
PRESCHOOL STORYTIME,05/24/2017,May,FY 17,Long Branch,Storytime,ACE - All Children Excel,Science & Math (STEM),Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at storytime! These programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child's language skills. Children are encouraged to engage with the stories and activities and their grownups to participate in the program along with the children. 0-5 years are welcome.",,Yes,17
Family Storytime,05/24/2017,May,FY 17,Kensington Park,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"These 25-30 minute programs are designed to delight children of all ages. Filled with diverse stories and activities that promotes and develops language skills and imagination. These programs encourage children to develop a lifelong love of reading and learning, and introduce them to the culture of reading.",,Yes,37
Baby Storytime (0-18 months),05/24/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,60
Tutoring and Homework Help,05/24/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,23
Toddler & Preschool Storytime,05/25/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,52
Toddler & Preschool Storytime,05/25/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,54
READ TO A DOG! -- PETS ON WHEELS FOR KENSINGTON PARK LIBRARY,06/17/2017,Jun,FY 17,Kensington Park,Special Event,Storytime,,Elementary School Age,,,"Come on in and read to a dog! Bring your own book to read, or pick one from our wonderful children's collection!",,Yes,20
Construction Crew: DUPLO,05/25/2017,May,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,8
Tutoring and Homework Help,05/25/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,15
Homework Help,05/25/2017,May,FY 17,Silver Spring,Homework,ACE - All Children Excel,,Elementary School Age,,,**Last one until next school year** Grades K-8. Drop in Thursday afternoons to receive one on one assistance from local high school students. No advance registration necessary- sign in on arrival at study tables on the fifth floor.,,Yes,1
Act It Out!,05/25/2017,May,FY 17,Olney,Storytime,ACE - All Children Excel,,Elementary School Age,,,"We will read a story and then the kids will act it out! For kids in first,second and third grades only. For kids only--no parents. You must register online for this event. Limited to 20 participants",,Yes,7
MC Infants & Toddlers Bilingual Storytime,05/26/2017,May,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,19
LEGO and DUPLO Playtime,05/26/2017,May,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home -- just bring your imagination and start building! Your creations must be left at the library but may be photographed before you leave. For children ages 3 to 12. Free. No registration. All children must be accompanied by an adult at all times. For more information call 240-777-0240.,,Yes,3
LEGO Crew,05/26/2017,May,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,30
BABY STORYTIME,05/27/2017,May,FY 17,Rockville Memorial,ACE - All Children Excel,Storytime,,Babies and Toddlers,,,"Storytime for babies and their parents or caregivers. Stories, songs and rhymes for the just born to just walking (0-24 month olds). Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,51
Lego Weekend Play,05/27/2017,May,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,"Children are invited to drop in for to build, create, and play with our DUPLOS (little ones) and LEGOS. We supply the blocks, so please leave yours at home. Your creations must be left at the library but, may be photographed before deconstruction. All children must be accompanied by an adult at all times. This STEM program is made possible through the generous support of the Silver Spring Friends of the Library. 5th Floor Program Room, Saturday 12:30-5:30 pm and Sunday 1-4:30 pm Look for extended play time during our Summer hours!",,Yes,155
Baby Storytime,05/30/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,32
Baby Storytime,05/30/2017,May,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,34
Toddler Storytime (18-36 months),05/30/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,72
Baby Storytime (0-18 months),05/30/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,33
